Web Search Interest
Italy; 2004 - present

Interest over time
Week,Contests, Awards & Prizes
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,-61%
2004-01-18 - 2004-01-24,-71%
2004-01-25 - 2004-01-31,-75%
2004-02-01 - 2004-02-07,-72%
2004-02-08 - 2004-02-14,-76%
2004-02-15 - 2004-02-21,-76%
2004-02-22 - 2004-02-28,-75%
2004-02-29 - 2004-03-06,-75%
2004-03-07 - 2004-03-13,-76%
2004-03-14 - 2004-03-20,-73%
2004-03-21 - 2004-03-27,-75%
2004-03-28 - 2004-04-03,-76%
2004-04-04 - 2004-04-10,-76%
2004-04-11 - 2004-04-17,-77%
2004-04-18 - 2004-04-24,-78%
2004-04-25 - 2004-05-01,-80%
2004-05-02 - 2004-05-08,-75%
2004-05-09 - 2004-05-15,-76%
2004-05-16 - 2004-05-22,-78%
2004-05-23 - 2004-05-29,-78%
2004-05-30 - 2004-06-05,-76%
2004-06-06 - 2004-06-12,-78%
2004-06-13 - 2004-06-19,-80%
2004-06-20 - 2004-06-26,-76%
2004-06-27 - 2004-07-03,-72%
2004-07-04 - 2004-07-10,-75%
2004-07-11 - 2004-07-17,-75%
2004-07-18 - 2004-07-24,-76%
2004-07-25 - 2004-07-31,-76%
2004-08-01 - 2004-08-07,-75%
2004-08-08 - 2004-08-14,-71%
2004-08-15 - 2004-08-21,-70%
2004-08-22 - 2004-08-28,-73%
2004-08-29 - 2004-09-04,-73%
2004-09-05 - 2004-09-11,-73%
2004-09-12 - 2004-09-18,-71%
2004-09-19 - 2004-09-25,-72%
2004-09-26 - 2004-10-02,-72%
2004-10-03 - 2004-10-09,-69%
2004-10-10 - 2004-10-16,-66%
2004-10-17 - 2004-10-23,-66%
2004-10-24 - 2004-10-30,-67%
2004-10-31 - 2004-11-06,-72%
2004-11-07 - 2004-11-13,-69%
2004-11-14 - 2004-11-20,-69%
2004-11-21 - 2004-11-27,-73%
2004-11-28 - 2004-12-04,-73%
2004-12-05 - 2004-12-11,-71%
2004-12-12 - 2004-12-18,-72%
2004-12-19 - 2004-12-25,-72%
2004-12-26 - 2005-01-01,-67%
2005-01-02 - 2005-01-08,-28%
2005-01-09 - 2005-01-15,-40%
2005-01-16 - 2005-01-22,-65%
2005-01-23 - 2005-01-29,-70%
2005-01-30 - 2005-02-05,-70%
2005-02-06 - 2005-02-12,-69%
2005-02-13 - 2005-02-19,-72%
2005-02-20 - 2005-02-26,-75%
2005-02-27 - 2005-03-05,-75%
2005-03-06 - 2005-03-12,-72%
2005-03-13 - 2005-03-19,-72%
2005-03-20 - 2005-03-26,-71%
2005-03-27 - 2005-04-02,-71%
2005-04-03 - 2005-04-09,-69%
2005-04-10 - 2005-04-16,-75%
2005-04-17 - 2005-04-23,-73%
2005-04-24 - 2005-04-30,-71%
2005-05-01 - 2005-05-07,-67%
2005-05-08 - 2005-05-14,-73%
2005-05-15 - 2005-05-21,-76%
2005-05-22 - 2005-05-28,-77%
2005-05-29 - 2005-06-04,-77%
2005-06-05 - 2005-06-11,-77%
2005-06-12 - 2005-06-18,-77%
2005-06-19 - 2005-06-25,-76%
2005-06-26 - 2005-07-02,-76%
2005-07-03 - 2005-07-09,-76%
2005-07-10 - 2005-07-16,-75%
2005-07-17 - 2005-07-23,-75%
2005-07-24 - 2005-07-30,-76%
2005-07-31 - 2005-08-06,-73%
2005-08-07 - 2005-08-13,-73%
2005-08-14 - 2005-08-20,-72%
2005-08-21 - 2005-08-27,-76%
2005-08-28 - 2005-09-03,-73%
2005-09-04 - 2005-09-10,-75%
2005-09-11 - 2005-09-17,-75%
2005-09-18 - 2005-09-24,-75%
2005-09-25 - 2005-10-01,-73%
2005-10-02 - 2005-10-08,-72%
2005-10-09 - 2005-10-15,-73%
2005-10-16 - 2005-10-22,-75%
2005-10-23 - 2005-10-29,-73%
2005-10-30 - 2005-11-05,-75%
2005-11-06 - 2005-11-12,-73%
2005-11-13 - 2005-11-19,-73%
2005-11-20 - 2005-11-26,-75%
2005-11-27 - 2005-12-03,-73%
2005-12-04 - 2005-12-10,-72%
2005-12-11 - 2005-12-17,-70%
2005-12-18 - 2005-12-24,-72%
2005-12-25 - 2005-12-31,-70%
2006-01-01 - 2006-01-07,-52%
2006-01-08 - 2006-01-14,-41%
2006-01-15 - 2006-01-21,-66%
2006-01-22 - 2006-01-28,-72%
2006-01-29 - 2006-02-04,-71%
2006-02-05 - 2006-02-11,-72%
2006-02-12 - 2006-02-18,-73%
2006-02-19 - 2006-02-25,-75%
2006-02-26 - 2006-03-04,-75%
2006-03-05 - 2006-03-11,-75%
2006-03-12 - 2006-03-18,-75%
2006-03-19 - 2006-03-25,-75%
2006-03-26 - 2006-04-01,-70%
2006-04-02 - 2006-04-08,-70%
2006-04-09 - 2006-04-15,-73%
2006-04-16 - 2006-04-22,-72%
2006-04-23 - 2006-04-29,-75%
2006-04-30 - 2006-05-06,-73%
2006-05-07 - 2006-05-13,-75%
2006-05-14 - 2006-05-20,-77%
2006-05-21 - 2006-05-27,-76%
2006-05-28 - 2006-06-03,-78%
2006-06-04 - 2006-06-10,-77%
2006-06-11 - 2006-06-17,-78%
2006-06-18 - 2006-06-24,-80%
2006-06-25 - 2006-07-01,-78%
2006-07-02 - 2006-07-08,-77%
2006-07-09 - 2006-07-15,-78%
2006-07-16 - 2006-07-22,-78%
2006-07-23 - 2006-07-29,-78%
2006-07-30 - 2006-08-05,-77%
2006-08-06 - 2006-08-12,-75%
2006-08-13 - 2006-08-19,-72%
2006-08-20 - 2006-08-26,-73%
